,Patient,Gene1,Gene2,Edge,Curvature,Response
167,COLO829_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.0,0
168,G361_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.0,1
169,G361_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.0,1
170,G361_SKIN,GRB2,EGFR,GRB2;EGFR,0.0,1
171,G361_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.0,1
172,G361_SKIN,GRB2,SRC,GRB2;SRC,0.0,1
173,G361_SKIN,GRB2,SHC3,GRB2;SHC3,0.0,1
174,G361_SKIN,GRB2,SOS1,GRB2;SOS1,0.0,1
175,G361_SKIN,SRC,ERBB3,SRC;ERBB3,0.0,1
176,G361_SKIN,SRC,ERBB2,SRC;ERBB2,0.0,1
177,G361_SKIN,SRC,EGFR,SRC;EGFR,0.0,1
178,G361_SKIN,SRC,SOS1,SRC;SOS1,0.0,1
179,G361_SKIN,SRC,SHC3,SRC;SHC3,0.0,1
180,G361_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.0,1
181,G361_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.0,1
182,G361_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.0,1
183,G361_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.0,1
184,G361_SKIN,EGFR,SHC3,EGFR;SHC3,0.0,1
185,G361_SKIN,EGFR,SOS1,EGFR;SOS1,0.0,1
186,G361_SKIN,NTRK2,SHC3,NTRK2;SHC3,0.0,1
187,G361_SKIN,SOS1,SHC3,SOS1;SHC3,0.0,1
188,G361_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.0,1
189,HMCB_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.5989372660319949,0
190,HMCB_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.5718726041384019,0
191,HMCB_SKIN,GRB2,EGFR,GRB2;EGFR,0.512615099685267,0
192,HMCB_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.4926063947419269,0
193,HMCB_SKIN,GRB2,SRC,GRB2;SRC,0.6191453197342957,0
194,HMCB_SKIN,GRB2,SHC3,GRB2;SHC3,0.5113476387626992,0
195,HMCB_SKIN,GRB2,SOS1,GRB2;SOS1,0.4322832049120888,0
196,HMCB_SKIN,SRC,ERBB3,SRC;ERBB3,0.5929710462574573,0
197,HMCB_SKIN,SRC,ERBB2,SRC;ERBB2,0.565920420297103,0
198,HMCB_SKIN,SRC,EGFR,SRC;EGFR,0.0,0
199,HMCB_SKIN,SRC,SOS1,SRC;SOS1,0.40548808596588515,0
200,HMCB_SKIN,SRC,SHC3,SRC;SHC3,0.4937843351048731,0
201,HMCB_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.6644629550130352,0
202,HMCB_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.3711535852922092,0
203,HMCB_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.37625577035490176,0
204,HMCB_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.44183643926075256,0
205,HMCB_SKIN,EGFR,SHC3,EGFR;SHC3,0.0,0
206,HMCB_SKIN,EGFR,SOS1,EGFR;SOS1,0.0,0
207,HMCB_SKIN,NTRK2,SHC3,NTRK2;SHC3,0.0,0
208,HMCB_SKIN,SOS1,SHC3,SOS1;SHC3,0.0,0
209,HMCB_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.44208754083591895,0
210,HS294T_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.6046079736868462,1
211,HS294T_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.5734282947989947,1
